Best Fit,X Values
"[2784, 5460]","[14, 4, 25, 2, 0]"
"[2728, 4430]","[0, 8, 25, 0, 30]"
"[3342, 5680]","[7, 7, 25, 3, 30]"
"[2964, 4630]","[8, 4, 25, 0, 30]"
"[2910, 5050]","[0, 10, 25, 0, 30]"
"[2171, 4260]","[5, 6, 25, 0, 0]"
"[2975, 4290]","[13, 0, 25, 0, 30]"
"[3125, 4650]","[15, 0, 25, 0, 30]"
"[2855, 5225]","[11, 5, 25, 0, 13]"
"[3595, 6060]","[12, 5, 25, 4, 30]"
"[2825, 4335]","[14, 0, 25, 0, 21]"
"[2982, 5400]","[9, 7, 16, 2, 30]"
"[2727, 5510]","[8, 7, 25, 4, 0]"
"[3079, 5330]","[13, 4, 15, 4, 30]"
"[3355, 5660]","[12, 5, 25, 0, 30]"
"[2786, 4210]","[0, 6, 25, 4, 30]"
"[3050, 4470]","[14, 0, 25, 0, 30]"
"[3215, 4690]","[13, 0, 25, 4, 30]"
"[2980, 4760]","[7, 5, 25, 0, 30]"
"[2908, 4730]","[0, 8, 25, 3, 30]"
"[2795, 3770]","[9, 0, 25, 2, 30]"
"[2625, 4080]","[13, 0, 25, 0, 16]"
"[3125, 4650]","[15, 0, 25, 0, 30]"
"[2325, 3735]","[14, 0, 15, 0, 21]"
"[3162, 5380]","[7, 7, 25, 0, 30]"
"[2995, 4700]","[15, 0, 25, 2, 20]"
"[2750, 4155]","[13, 0, 25, 0, 21]"
"[2805, 4350]","[15, 0, 15, 3, 30]"
"[2870, 3950]","[10, 0, 25, 2, 30]"
"[2817, 4420]","[0, 7, 25, 3, 30]"
"[3215, 4690]","[13, 0, 25, 4, 30]"
"[2989, 5320]","[13, 4, 25, 0, 16]"
"[3059, 5140]","[0, 9, 25, 4, 30]"
"[2740, 4030]","[12, 0, 17, 4, 30]"
"[2273, 2880]","[0, 3, 25, 0, 30]"
"[2776, 4890]","[8, 6, 14, 3, 30]"
"[2364, 3190]","[0, 4, 25, 0, 30]"
"[3307, 5270]","[15, 2, 25, 0, 30]"
"[3219, 5110]","[9, 4, 25, 3, 30]"
"[2973, 5650]","[7, 8, 25, 2, 14]"
"[2904, 5315]","[13, 4, 18, 4, 17]"
"[3312, 5740]","[9, 7, 25, 0, 30]"
"[2908, 4730]","[0, 8, 25, 3, 30]"
"[3326, 5550]","[8, 6, 25, 3, 30]"
"[2757, 4320]","[0, 7, 25, 2, 30]"
"[3090, 5350]","[0, 10, 25, 3, 30]"
"[2770, 5430]","[11, 5, 25, 4, 0]"
"[3350, 5785]","[12, 5, 25, 2, 25]"
"[2652, 5330]","[7, 7, 25, 4, 0]"
"[2695, 4190]","[15, 0, 14, 2, 30]"
"[2765, 3610]","[7, 0, 25, 4, 30]"
"[2996, 4890]","[6, 6, 25, 0, 30]"
"[2439, 4720]","[11, 4, 25, 0, 0]"
"[2945, 4130]","[11, 0, 25, 2, 30]"
"[2955, 4470]","[13, 0, 25, 3, 22]"
"[2726, 5460]","[10, 6, 25, 3, 0]"
"[3594, 6010]","[14, 4, 25, 3, 30]"
"[3115, 4900]","[15, 0, 25, 4, 20]"
